//SQLite data types: https://www.sqlite.org/datatype3.html,,,,,,,,,,,,,,,,,,,,,,,
//wget -O azq_global_element_info_list.csv https://docs.google.com/spreadsheets/d/1ddl-g_qyoMYLF8PMkjrYPrpXusdinTZxsWLQOzJ6xu8/export?format=csv,,,,,,,,,,,,,,,,,,,,,,,
id,var_name,csharp_oldname,db_table,var_type,db_type,val_min,val_max,n_arg_max,name,expiry (millis),definition,category,omit_param_check,,,,,,,,,,
1043,commander_location_lat,,commander_location,Double,double,0,0,1,Commander Location Latitude,,,Location,,,,,,,,,,,
1044,commander_location_lon,,commander_location,Double,double,0,0,1,Commander Location Longitude,,,Location,,,,,,,,,,,
1045,commander_location_alt,,commander_location,Double,double,0,0,1,Commander Location Altitude,,,Location,,,,,,,,,,,
1046,commander_location_is_indoor,,commander_location,Integer,smallint,0,0,1,Commander Location Is Indoor,,,Location,,,,,,,,,,,
1047,commander_location_indoor_point_name,,commander_location,String,varchar(5),0,0,1,Commander Location Indoor Point Name,,,Location,,,,,,,,,,,
1048,commander_location_source_type,,commander_location,Integer,smallint,0,0,1,Commander Location Source Type,,,,,,,,,,,,,,
1049,commander_location_source_id,,commander_location,String,varchar(5),0,0,1,Commander Location Source ID,,,,,,,,,,,,,,
1051,indoor_ori_img_north_west_lat,,indoor_background_img,Double,double,0,0,1,indoor_ori_img_north_west_lat,,,Other,,,,,,,,,,,
1052,indoor_ori_img_north_west_lon,,indoor_background_img,Double,double,0,0,1,indoor_ori_img_north_west_lon,,,Other,,,,,,,,,,,
1053,indoor_ori_img_north_east_lat,,indoor_background_img,Double,double,0,0,1,indoor_ori_img_north_east_lat,,,Other,,,,,,,,,,,
1054,indoor_ori_img_north_east_lon,,indoor_background_img,Double,double,0,0,1,indoor_ori_img_north_east_lon,,,Other,,,,,,,,,,,
1055,indoor_ori_img_south_west_lat,,indoor_background_img,Double,double,0,0,1,indoor_ori_img_south_west_lat,,,Other,,,,,,,,,,,
1056,indoor_ori_img_south_west_lon,,indoor_background_img,Double,double,0,0,1,indoor_ori_img_south_west_lon,,,Other,,,,,,,,,,,
1057,indoor_ori_img_south_east_lat,,indoor_background_img,Double,double,0,0,1,indoor_ori_img_south_east_lat,,,Other,,,,,,,,,,,
1058,indoor_ori_img_south_east_lon,,indoor_background_img,Double,double,0,0,1,indoor_ori_img_south_east_lon,,,Other,,,,,,,,,,,
1059,indoor_ori_img_center_lat,,indoor_background_img,Double,double,0,0,1,indoor_ori_img_center_lat,,,Other,,,,,,,,,,,
1060,indoor_ori_img_center_lon,,indoor_background_img,Double,double,0,0,1,indoor_ori_img_center_lon,,,Other,,,,,,,,,,,
1061,indoor_ori_img_width_m,,indoor_background_img,Double,double,0,0,1,indoor_ori_img_width_m,,,Other,,,,,,,,,,,
1062,indoor_ori_img_height_m,,indoor_background_img,Double,double,0,0,1,indoor_ori_img_height_m,,,Other,,,,,,,,,,,
1063,indoor_rotated_img_north_west_lat,,indoor_background_img,Double,double,0,0,1,indoor_rotated_img_north_west_lat,,,Other,,,,,,,,,,,
1064,indoor_rotated_img_north_west_lon,,indoor_background_img,Double,double,0,0,1,indoor_rotated_img_north_west_lon,,,Other,,,,,,,,,,,
1065,indoor_rotated_img_north_east_lat,,indoor_background_img,Double,double,0,0,1,indoor_rotated_img_north_east_lat,,,Other,,,,,,,,,,,
1066,indoor_rotated_img_north_east_lon,,indoor_background_img,Double,double,0,0,1,indoor_rotated_img_north_east_lon,,,Other,,,,,,,,,,,
1067,indoor_rotated_img_south_west_lat,,indoor_background_img,Double,double,0,0,1,indoor_rotated_img_south_west_lat,,,Other,,,,,,,,,,,
1068,indoor_rotated_img_south_west_lon,,indoor_background_img,Double,double,0,0,1,indoor_rotated_img_south_west_lon,,,Other,,,,,,,,,,,
1069,indoor_rotated_img_south_east_lat,,indoor_background_img,Double,double,0,0,1,indoor_rotated_img_south_east_lat,,,Other,,,,,,,,,,,
1070,indoor_rotated_img_south_east_lon,,indoor_background_img,Double,double,0,0,1,indoor_rotated_img_south_east_lon,,,Other,,,,,,,,,,,
1071,indoor_rotated_img_center_lat,,indoor_background_img,Double,double,0,0,1,indoor_rotated_img_center_lat,,,Other,,,,,,,,,,,
1072,indoor_rotated_img_center_lon,,indoor_background_img,Double,double,0,0,1,indoor_rotated_img_center_lon,,,Other,,,,,,,,,,,
1073,indoor_rotated_img_width_m,,indoor_background_img,Double,double,0,0,1,indoor_rotated_img_width_m,,,Other,,,,,,,,,,,
1074,indoor_rotated_img_height_m,,indoor_background_img,Double,double,0,0,1,indoor_rotated_img_height_m,,,Other,,,,,,,,,,,
1075,indoor_img_rotation_degree,,indoor_background_img,Double,double,0,0,1,indoor_rotated_img_height_m,,,Other,,,,,,,,,,,
1081,ble_gnss_broadcaster_location_lat,,ble_gnss_broadcaster_location,Double,double,0,0,1,BLE GNSS Broadcaster Location Latitude,,,Location,,,,,,,,,,,
